planet_name,discovery_year,discovery_facility,planet_mass_jupiter_mass,planet_mass_earth_mass,orbit_semi_major_axis_au,stellar_mass_solar,ra_deg,dec_deg,distance_pc
OGLE-2003-BLG-235L b,2004,OGLE,2.60000000,830.00000000,4.3000000000,0.630000,271.3181250,-28.8950000,5800.00000000
OGLE-2005-BLG-071L b,2005,OGLE,3.80000000,1200.00000000,3.6000000000,0.460000,267.5407080,-34.6731944,3200.00000000
OGLE-2005-BLG-390L b,2005,OGLE,0.01700000,5.50000000,2.6000000000,0.220000,268.5799580,-30.3773056,6600.00000000
OGLE-2005-BLG-169L b,2006,OGLE,0.04440000,14.10000000,3.5000000000,0.690000,271.5221670,-30.7326389,4100.00000000
MOA-2007-BLG-192L b,2008,MOA,0.03929793,12.49000000,2.0200000000,0.280000,272.0158333,-27.1500750,2160.00000000
MOA-2007-BLG-400L b,2008,MOA,1.70000000,540.30829190,5.9000000000,0.690000,272.4249167,-29.2241528,6890.00000000
OGLE-2006-BLG-109L b,2008,OGLE,0.72700000,231.00000000,2.3000000000,0.510000,268.1437920,-30.0877778,1510.00000000
OGLE-2006-BLG-109L c,2008,OGLE,0.27000000,86.00000000,4.5000000000,0.510000,268.1437920,-30.0877778,1510.00000000
MOA-2008-BLG-310L b,2009,MOA,0.07360000,23.40000000,1.1000000000,0.210000,268.5605420,-34.7780528,7700.00000000
OGLE-2007-BLG-368L b,2009,OGLE,0.06000000,20.00000000,2.8000000000,0.640000,269.1081670,-32.2374167,5900.00000000
MOA-2009-BLG-319L b,2010,MOA,0.21200000,67.30000000,2.0300000000,0.524000,271.7422080,-26.8196917,7050.00000000
MOA-2009-BLG-387L b,2010,MOA,2.60000000,830.00000000,1.8000000000,0.190000,268.4616250,-33.9903333,5690.00000000
MOA-2009-BLG-266L b,2011,MOA,0.03270000,10.40000000,3.2000000000,0.560000,267.0081250,-35.0054111,3040.00000000
MOA-2010-BLG-073L b,2012,MOA,11.00000000,3500.00000000,1.2100000000,0.160000,272.5472580,-26.5229319,2800.00000000
MOA-2010-BLG-477L b,2012,MOA,1.50000000,480.00000000,2.0000000000,0.670000,271.5310060,-31.4544773,2300.00000000
